FID,CID,Type,POINT_X,POINT_Y
471, 0, 6, 256520.261585, 6251551.24061
472, 0, 6, 255841.872211, 6249934.1883
473, 0, 6, 256182.731439, 6251362.91317
474, 0, 6, 255767.188998, 6250260.2738
475, 0, 6, 256327.090414, 6249475.86164
476, 0, 6, 256938.327472, 6251329.55849
477, 0, 6, 255688.834154, 6250640.08428
478, 0, 6, 255081.085094, 6251165.68584
479, 0, 6, 255641.352959, 6251354.40103
480, 0, 6, 256506.888645, 6250977.00027
481, 0, 6, 255671.957978, 6249883.25563
482, 0, 6, 255678.547344, 6250650.87933
483, 0, 6, 255806.539363, 6250530.97481
484, 0, 6, 256119.564711, 6250536.41606
485, 0, 6, 256573.852793, 6250993.61518
486, 0, 6, 254859.245408, 6250315.21863
487, 0, 6, 256128.721636, 6251101.29319
488, 0, 6, 255147.325889, 6251623.55167
489, 0, 6, 254826.750688, 6250924.37517
490, 0, 6, 256140.717173, 6250790.71912
491, 0, 6, 255641.80341, 6250587.14806
492, 0, 6, 256055.245384, 6249552.42848
493, 0, 6, 256202.193001, 6251522.39141
494, 0, 6, 256676.093237, 6250737.21825
495, 0, 6, 255603.915797, 6250618.26535
496, 0, 6, 254777.758296, 6250220.23117
497, 0, 6, 255632.871889, 6250586.7279
498, 0, 6, 255443.799789, 6251171.55738
499, 0, 6, 255074.627914, 6250020.51589
500, 0, 6, 256047.214497, 6250643.39772
501, 0, 6, 255686.430885, 6250220.33399
502, 0, 6, 254545.495112, 6251486.02031
503, 0, 6, 255067.103551, 6251236.48359
504, 0, 6, 256443.837526, 6250865.67777
505, 0, 6, 256847.216728, 6251331.96805
506, 0, 6, 255886.570982, 6250589.22825
507, 0, 6, 255176.021802, 6249615.73809
508, 0, 6, 256691.842878, 6250191.42931
509, 0, 6, 255973.567152, 6250144.21748
510, 0, 6, 256977.471104, 6251335.42247
511, 0, 6, 255162.687294, 6249641.89693
512, 0, 6, 256402.860278, 6250028.52297
513, 0, 6, 255043.950011, 6249667.12038
514, 0, 6, 255904.821354, 6251488.20309
515, 0, 6, 256603.224793, 6250363.51705
516, 0, 6, 255223.566407, 6251395.1348
517, 0, 6, 254463.553233, 6250695.11147
518, 0, 6, 256435.387354, 6251330.20834
519, 0, 6, 256437.855606, 6249957.67117
520, 0, 6, 256030.03707, 6250302.97671
521, 0, 6, 255815.492241, 6250244.33106
522, 0, 6, 255556.527441, 6250800.3256
523, 0, 6, 256257.568319, 6250081.07583
524, 0, 6, 255572.502883, 6250011.68156
525, 0, 6, 256167.649575, 6249817.18172
526, 0, 6, 255004.832807, 6251141.50382
527, 0, 6, 256157.463533, 6249810.04285
528, 0, 6, 255889.417826, 6250649.3985
529, 0, 6, 255022.521003, 6250239.41904
530, 0, 6, 254474.68005, 6250459.33809
531, 0, 6, 255804.812879, 6250416.58894
532, 0, 6, 256164.098674, 6249815.12682
533, 0, 6, 256880.246138, 6250401.77619
534, 0, 6, 255616.016797, 6251164.81548
535, 0, 6, 255098.945854, 6250659.17439
536, 0, 6, 255191.795509, 6249594.46193
537, 0, 6, 256062.067315, 6250178.74405
538, 0, 6, 256198.182471, 6250374.44856
539, 0, 6, 255743.818028, 6250250.53652
540, 0, 6, 256559.682344, 6250989.82029
541, 0, 6, 256201.777955, 6250379.86713
542, 0, 6, 255781.26006, 6249986.76239
543, 0, 6, 256215.149493, 6250392.29132
544, 0, 6, 256017.717585, 6250671.81515
545, 0, 6, 255857.359909, 6249766.40712
546, 0, 6, 256911.50054, 6250132.89303
547, 0, 6, 255188.116982, 6251692.30294
548, 0, 6, 255807.314191, 6250839.2156
549, 0, 6, 256155.595442, 6250805.03875
550, 0, 6, 256550.288327, 6250118.41436
551, 0, 6, 256043.536109, 6251275.63164
552, 0, 6, 255517.445392, 6251643.14579
553, 0, 6, 255091.318134, 6251168.30228
554, 0, 6, 255206.036031, 6249581.6344
555, 0, 6, 255286.759597, 6250930.23773
556, 0, 6, 255789.146114, 6250535.92406
557, 0, 6, 255861.48994, 6250221.3852
558, 0, 6, 255154.555575, 6251085.60799
559, 0, 6, 255737.649931, 6251415.22893
560, 0, 6, 256302.460618, 6251326.02236
561, 0, 6, 255955.705275, 6251507.50512
562, 0, 6, 255078.453361, 6249771.91539
563, 0, 6, 254525.31518, 6251626.09059
564, 0, 6, 255950.770486, 6250375.78285
565, 0, 6, 255680.602969, 6251379.31587
566, 0, 6, 256088.76699, 6250572.43989
567, 0, 6, 254898.527152, 6249701.90573
568, 0, 6, 254481.022382, 6250668.07065
569, 0, 6, 254937.378974, 6250349.13134
570, 0, 6, 256546.044991, 6250540.02147
571, 0, 6, 255275.434071, 6250487.32645
