FID,CID,Type,POINT_X,POINT_Y
561, 0, 4, -13735380.3274, 4786836.13835
562, 0, 4, -13735740.4213, 4786398.80134
563, 0, 4, -13734157.0774, 4786369.38705
564, 0, 4, -13734026.5012, 4786349.53428
565, 0, 4, -13735154.5913, 4786131.82635
566, 0, 4, -13735537.0591, 4786648.94185
567, 0, 4, -13734323.3326, 4785532.96445
568, 0, 4, -13735232.148, 4786530.47367
569, 0, 4, -13734839.3847, 4786820.99313
570, 0, 2, -13733735.766, 4786430.90549
571, 0, 4, -13734081.1834, 4785797.8941
572, 0, 4, -13734738.5203, 4785397.7619
573, 0, 4, -13734860.4161, 4786440.62661
574, 0, 4, -13735839.9289, 4785332.60545
575, 0, 4, -13735375.2241, 4786823.16525
576, 0, 4, -13734095.1548, 4787242.70917
577, 0, 4, -13735619.7372, 4787037.56734
578, 0, 4, -13735162.297, 4786086.20851
579, 0, 4, -13734325.6381, 4786750.24625
580, 0, 4, -13735212.8299, 4787647.51828
