FID,CID,Type,POINT_X,POINT_Y
308, 0, 1, 12306957.9869, 3383716.98003
309, 0, 1, 12306452.3407, 3383032.81307
310, 0, 1, 12307101.8175, 3384215.92898
311, 0, 1, 12306082.181, 3384717.64106
312, 0, 1, 12307172.5155, 3383650.62676
313, 0, 1, 12307233.3991, 3383862.34325
314, 0, 1, 12307390.8278, 3383878.03978
315, 0, 1, 12307164.1329, 3383398.12045
316, 0, 1, 12306776.6181, 3382816.78913
317, 0, 1, 12307154.9341, 3383370.91373
318, 0, 1, 12307458.4901, 3383905.24088
319, 0, 1, 12307159.4661, 3383849.57525
320, 0, 1, 12307295.7838, 3383437.25889
321, 0, 1, 12307204.5423, 3383804.6166
322, 0, 1, 12306169.1805, 3383592.04803
323, 0, 1, 12306129.283, 3384553.00987
324, 0, 1, 12307122.1972, 3383330.94168
325, 0, 1, 12306317.9754, 3383826.6337
326, 0, 1, 12306277.494, 3383097.03702
327, 0, 1, 12306335.9959, 3383668.5544
328, 0, 1, 12307910.1757, 3383313.43902
329, 0, 1, 12307033.7521, 3384010.22845
330, 0, 1, 12306304.9062, 3383858.57924
331, 0, 1, 12307728.1445, 3383546.6002
332, 0, 1, 12307351.8759, 3383900.22218
333, 0, 1, 12307236.8555, 3383787.69997
334, 0, 1, 12307119.7609, 3384193.65343
335, 0, 1, 12306160.5316, 3384412.69094
336, 0, 1, 12307829.8279, 3383495.73574
337, 0, 1, 12306464.1219, 3383046.18466
338, 0, 1, 12306977.1455, 3383710.45659
339, 0, 1, 12307210.2636, 3384576.56345
340, 0, 1, 12306213.991, 3384213.41584
341, 0, 1, 12306938.804, 3383719.66722
342, 0, 1, 12307659.4026, 3383566.73194
343, 0, 1, 12307102.0782, 3384910.50469
344, 0, 1, 12306402.9296, 3383485.72385
345, 0, 1, 12308030.9038, 3382942.66431
346, 0, 1, 12307233.2815, 3383786.71701
347, 0, 1, 12307154.913, 3384661.28816
348, 0, 1, 12306311.8233, 3382905.3373
349, 0, 1, 12306206.3826, 3384240.42476
350, 0, 1, 12307576.9939, 3383583.16434
351, 0, 1, 12306254.3821, 3384061.14886
352, 0, 1, 12306833.4406, 3383082.32286
353, 0, 1, 12307033.5192, 3383982.49125
